modelo,accuracy,precision,recall,f1,f1_macro,roc_auc,tn,fp,fn,tp,n_train,n_test
Regresión logística,0.8128693368351937,0.7851622874806801,0.7767584097859327,0.7809377401998463,0.8088069789824446,0.8666346427930448,730,139,146,508,6090,1523
SVM lineal calibrado,0.8095863427445831,0.8074324324324325,0.7308868501529052,0.7672552166934189,0.8030720527911539,0.8613295890034944,755,114,176,478,6090,1523
Naive Bayes complementario,0.8069599474720945,0.8,0.7339449541284404,0.7655502392344498,0.8007438696172249,0.8636310849758766,749,120,174,480,6090,1523
Baseline mayoritaria,0.5705843729481287,0.0,0.0,0.0,0.3632943143812709,0.5,869,0,654,0,6090,1523
