metrica,n_grupo_1,n_grupo_0,media_grupo_1,media_grupo_0,mediana_grupo_1,mediana_grupo_0,diferencia_medias,diferencia_medianas,u_statistic,p_valor_bilateral,p_valor_unilateral_mayor,cliffs_delta,magnitud_efecto,ic95_dif_medias_inferior,ic95_dif_medias_superior,ic95_dif_medianas_inferior,ic95_dif_medianas_superior
negativity,3271,4342,0.3366065423417915,0.21256950713956704,0.3182,0.0,0.12403703520222445,0.3182,8570308.5,1.2859394885648566e-61,6.429697442824283e-62,0.20685776109047582,pequeño,0.10994251556343368,0.1381875067045435,0.296,0.34
sentiment_negative,3271,4342,0.1831932130846836,0.1371317365269461,0.167,0.0975,0.046061476557737485,0.0695,8229475.0,6.459490750705066e-35,3.229745375352533e-35,0.15886210787511823,pequeño,0.038223850518162725,0.05383043737971462,0.056499999999999995,0.087
sentiment_compound,3271,4342,-0.26614558239070624,-0.051509557807462,-0.3182,0.0,-0.21463602458324424,-0.3182,5259347.0,5.208255632166054e-85,1.0,-0.25938678342583465,pequeño,-0.2350152403105977,-0.19396982837414092,-0.34,-0.296
